storm_id,storm_name,month,day,hour,year,latitude,longitude,radius_34_ne,radius_34_se,radius_34_sw,radius_34_nw,radius_50_ne,radius_50_se,radius_50_sw,radius_50_nw,radius_64_ne,radius_64_se,radius_64_sw,radius_64_nw
AL0188,ALBERTO,8,5,18,1988,32,77.5,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,6,0,1988,32.8,76.2,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,6,6,1988,34,75.2,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,6,12,1988,35.2,74.6,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,6,18,1988,37,73.5,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,7,0,1988,38.7,72.4,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,7,6,1988,40,70.8,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,7,12,1988,41.5,69,100,100,50,50,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,7,18,1988,43,67.5,100,100,50,50,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,8,0,1988,45,65.5,NA,NA,NA,NA,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,8,6,1988,47,63,NA,NA,NA,NA,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,8,12,1988,49,60,0,0,0,0,0,0,0,0,0,0,0,0
AL0188,ALBERTO,8,8,18,1988,51,56,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,8,0,1988,30.4,90.3,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,8,6,1988,29.7,89.7,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,8,12,1988,29.7,89.4,50,50,100,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,8,18,1988,29.4,89.2,50,50,50,25,0,0,0,0,0,0,0,0
AL0288,BERYL,8,9,0,1988,29.3,89.1,50,100,100,25,0,0,0,0,0,0,0,0
AL0288,BERYL,8,9,6,1988,29.6,89.5,50,75,75,50,0,0,0,0,0,0,0,0
AL0288,BERYL,8,9,12,1988,30.1,90.4,0,150,150,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,9,18,1988,30.1,90.9,NA,NA,NA,NA,0,0,0,0,0,0,0,0
AL0288,BERYL,8,10,0,1988,30.3,91.6,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,10,6,1988,30.7,92.2,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,10,12,1988,31.2,92.6,0,0,0,0,0,0,0,0,0,0,0,0
AL0288,BERYL,8,10,18,1988,31.7,93.2,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,21,12,1988,14.9,43.3,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,21,18,1988,14.6,45.7,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,22,0,1988,14.6,47.8,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,22,6,1988,14.7,49.9,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,22,12,1988,14.8,51.9,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,22,18,1988,15.1,54,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,23,0,1988,15.3,55.7,0,0,0,0,0,0,0,0,0,0,0,0
AL0388,CHRIS,8,23,6,1988,15.6,57.5,0,0,0,0,0,0,0,0,0,0,0,0
