age,age_group,job,marital,education,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,td_enroll
42,GenX,admin.,single,secondary,-247,yes,yes,telephone,519,1,166,1,other,yes
33,Millennial,services,married,secondary,3444,yes,no,telephone,144,1,91,4,failure,yes
36,GenX,management,married,tertiary,0,yes,no,telephone,140,1,143,3,failure,yes
56,Boomer,technician,married,secondary,589,yes,no,unknown,518,1,147,2,success,yes
34,Millennial,admin.,married,tertiary,899,yes,no,unknown,114,1,170,3,failure,yes
49,GenX,services,married,secondary,202,yes,no,cellular,651,2,104,1,failure,yes
53,Boomer,retired,married,tertiary,2269,no,no,cellular,1091,2,150,1,success,yes
37,GenX,technician,married,secondary,5115,yes,no,cellular,1210,2,171,4,failure,yes
45,GenX,entrepreneur,married,secondary,781,no,yes,cellular,652,2,126,2,failure,yes
34,Millennial,management,single,tertiary,1494,yes,no,cellular,596,1,182,1,other,yes
31,Millennial,technician,married,tertiary,26,no,yes,cellular,419,1,127,6,other,yes
46,GenX,management,married,tertiary,0,no,no,cellular,716,2,110,3,other,yes
45,GenX,management,divorced,secondary,644,yes,no,cellular,418,1,168,1,success,yes
46,GenX,self-employed,married,tertiary,2421,no,no,cellular,1084,1,100,4,failure,yes
43,GenX,management,married,tertiary,1429,yes,no,cellular,1015,1,198,2,other,yes
33,Millennial,technician,single,tertiary,149,yes,no,cellular,424,2,182,1,other,yes
46,GenX,unemployed,divorced,secondary,3354,yes,no,cellular,522,1,174,1,success,yes
38,GenX,blue-collar,married,primary,190,yes,no,telephone,623,1,175,1,other,yes
34,Millennial,management,married,tertiary,1006,yes,no,cellular,783,3,195,2,other,yes
58,Boomer,retired,divorced,primary,2538,yes,no,cellular,680,2,111,6,failure,yes
40,GenX,management,married,tertiary,3352,yes,no,cellular,639,2,27,1,success,yes
32,Millennial,technician,married,tertiary,4654,yes,yes,cellular,276,1,128,2,failure,yes
33,Millennial,technician,married,tertiary,6843,no,no,cellular,755,1,100,10,other,yes
30,Millennial,blue-collar,married,secondary,501,yes,yes,cellular,994,1,177,1,failure,yes
46,GenX,technician,married,tertiary,0,no,no,cellular,531,1,167,1,failure,yes
39,GenX,blue-collar,divorced,primary,1317,yes,no,cellular,543,1,170,4,other,yes
43,GenX,blue-collar,married,secondary,699,yes,yes,cellular,1258,2,122,2,other,yes
38,GenX,entrepreneur,married,tertiary,1110,yes,no,cellular,888,2,183,2,failure,yes
37,GenX,technician,divorced,secondary,3068,yes,yes,cellular,370,2,195,1,other,yes
32,Millennial,services,married,secondary,983,yes,no,cellular,500,2,133,1,failure,yes
31,Millennial,unemployed,married,secondary,314,yes,no,cellular,1341,3,178,7,failure,yes
50,GenX,blue-collar,married,primary,12519,yes,no,cellular,615,3,34,1,failure,yes
47,GenX,technician,married,secondary,0,no,no,cellular,591,1,10,1,failure,yes
59,Boomer,management,married,tertiary,7049,no,no,cellular,530,1,163,2,failure,yes
31,Millennial,self-employed,married,tertiary,5,yes,yes,cellular,635,1,135,2,failure,yes
30,Millennial,management,married,tertiary,1942,yes,yes,cellular,436,2,178,3,other,yes
31,Millennial,management,married,secondary,8629,yes,no,cellular,957,1,184,2,failure,yes
53,Boomer,blue-collar,married,secondary,1777,yes,no,cellular,796,5,154,1,failure,yes
31,Millennial,management,married,tertiary,4148,yes,no,cellular,316,3,99,9,other,yes
47,GenX,technician,married,secondary,834,no,yes,cellular,902,1,133,2,other,yes
31,Millennial,unknown,married,secondary,111,no,no,cellular,504,2,93,2,failure,yes
59,Boomer,services,divorced,secondary,1,yes,no,cellular,602,1,253,5,other,yes
31,Millennial,unemployed,single,primary,163,no,no,cellular,707,2,2,1,other,yes
40,GenX,technician,single,tertiary,1646,yes,no,cellular,215,1,242,2,failure,yes
44,GenX,unemployed,married,secondary,0,yes,no,cellular,699,1,272,1,failure,yes
40,GenX,services,divorced,secondary,687,yes,no,cellular,531,1,208,1,success,yes
31,Millennial,management,single,tertiary,3283,no,no,cellular,258,1,73,1,failure,yes
43,GenX,admin.,single,secondary,-247,yes,yes,cellular,751,2,76,4,failure,yes
28,Millennial,unemployed,married,primary,7459,yes,no,cellular,981,5,269,2,failure,yes
37,GenX,management,married,tertiary,4089,yes,no,cellular,289,2,174,4,other,yes
54,Boomer,technician,divorced,secondary,2156,yes,no,cellular,261,1,195,4,failure,yes
32,Millennial,management,single,tertiary,2360,no,no,cellular,152,2,160,5,other,yes
31,Millennial,management,married,tertiary,1331,no,no,cellular,182,2,90,1,success,yes
28,Millennial,self-employed,married,tertiary,0,yes,no,cellular,546,3,196,4,failure,yes
40,GenX,blue-collar,married,unknown,1181,yes,no,cellular,718,2,189,2,success,yes
32,Millennial,admin.,single,secondary,678,yes,no,cellular,1579,1,246,4,failure,yes
31,Millennial,management,married,tertiary,141,yes,no,cellular,572,2,238,7,other,yes
41,GenX,self-employed,single,tertiary,-94,yes,no,cellular,1164,1,203,1,failure,yes
33,Millennial,unknown,married,secondary,335,no,no,cellular,891,2,177,7,failure,yes
31,Millennial,technician,single,tertiary,1109,no,no,cellular,642,1,167,2,failure,yes
26,Millennial,entrepreneur,single,secondary,101,yes,no,cellular,810,1,268,1,failure,yes
26,Millennial,entrepreneur,single,tertiary,725,no,no,cellular,1916,2,189,29,other,yes
