ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
B005K4Q68Q,A1NEGY709BBIY3,"Ellen R. Powers ""etpowers98""",0,0,5,2012-05-04,Best hot chocolate,So far Grove Square has the best hot chocolate K-cups.  We have tried a couple others but they don't compare.
B0006TQ2TS,A3LMV28393LQEQ,a,0,0,5,2012-04-12,Superior quality saffron for a decent price.,"I know my saffron. I have tried different brands from different places. I think this is one of the best I have tried. I thought it was a good price for the quantity considering the fact that saffron is the most expensive spice out there. I also like the tin, though I prefer a corked bottle to keep the flavor fresh."
B003G1ZRTY,A2IYI4M6E7T8CT,"Wendy Chansky ""wendyc""",2,2,5,2010-10-03,great fiber,"Not only is this a great sorce of fiber, it's a great weight loss tool."
B000NMJWZO,A2UB20PCCYGZ57,505sydney,0,0,5,2011-09-23,YUM,Having pamela's gluten free products delivered to our house is a lavish treat. I feel rich! I am visiting family on the the EAST coast and finding health food stores and cooperatives is not as easy as in Albuquerque. Thankyou Thankyou
B006J4MAIQ,A3MUSWDCTZINQZ,"Ulalume Jones ""Creative Gal""",0,1,5,2012-04-16,Very good tasting snack,"This granola has a great taste.  It also came to me in bigger chunks, which was good for snacking.  Other granola sometimes is too small to eat like that.  It is good with milk as a cereal or in oatmeal as a topping.  It's a bit pricey, but it is tasty for what it is."
B002AJ1S1E,AG0MQPSGTX7TA,Pale Mare,4,4,5,2009-06-26,"very berry, very delicous","The very berry granola gourmet bars are my favorite flavor. They taste wonderful, and are easy on your stomache even when you're ravenous.  =P<br />They are a great snack to keep at work. They also keep well over time, so you don't have to eat an entire package in a couple of days.  =)"
B0029ZAOW8,AO9BVFJB20H9B,B. Westermann,2,2,5,2009-07-15,Works for me,"I'm in my late 60's & I find it gives me a boost when I need one. There are days I wouldn't get anything done without it.  Used properly, it's great, DON'T ABUSE IT!"
B009E7YC54,A3LY9SECVZQGX3,"C. A. McMartin ""Ms Fembot""",0,0,5,2012-05-05,I'm glad I tried it.,I am not using it to replace peanut butter so I can't comment on it's comparison to the real deal. I use it as a protein supplement in many foods from salad dressings to oatmeal. It would be a good thing to have for emergency food stock and I take it backpacking or hiking. It weighs very little.
B003LJW68G,A18SN60C42P5YF,Nicholas K. Nordberg,0,0,5,2011-10-11,My Fav Pasta!,"I originally learned of this shape through a dish at Olive Garden, we rarely eat there anymore, not as much tolerance for chain restaurants, but I love orecchiette for use with pesto. It is a fantastic little ""dish or shell"" to hold a little pesto, also great with wine sauces. I buy this on amazon not so much for price savings but because typical grocery stores (non specialty) in this area don't tend to carry this."
B001RVFERK,A3M798YYM8TSQG,Judy,0,0,5,2009-03-14,Similar to Munchos,Discovering I have a yeast allergy meant I had to quit eating Munchos--a childhood favorite. Hurray!! These are very similar and just as good. :)
B002OL2MWM,A3PDXD8G2R4719,dollarguy,0,0,5,2011-12-23,A must buy for wine lovers,"Vinturi wine aerators are amazing in improving the taste and softness of wine.  I bought my Vinturi last February and cannot drink wine without using it.  When I went to buy another Vinturi as a gift for Christmas, a stand is now included in the Deluxe package to hold the Vinturi while conducting aeration. My Vinturi is held in one hand while pouring into a flask or glass. I do not drink white wine, but my wife says Vinturi aeration improves white wine as well. I see Vinturi advertising a separate aerator for white wine now, but I have not used one yet.<br /><br />Dollarguy ....<a href=""http://www.amazon.com/gp/product/B002OL2MWM"">Vinturi Deluxe 6-Piece Wine Aerator Set</a>"
B000J4DSGK,A3NCV7XVGNHRT6,"teacher mom ""teacher mom""",2,2,5,2011-12-27,The best balsamic I've ever used,"Balsamic is my favorite vinegar.  I use it to make dressings, add it to deviled eggs, glazes, and sauces.  It's a staple in many dishes.  Generic, inexpensive balsamic is okay to use for some purposes, but gourmet balsamic is best for reductions.  I tried using an inferior vinegar to make a reduction sauce as a dessert, and it didn't turn out.  Fattoria not only gives a stronger flavor to salad dressings, but reductions taste rich and sweet."
B000CQIDHO,A3S5414C0MJAB0,TechDiva,0,1,5,2011-04-17,Love This Tangy Tea,"I think I might be addicted !  This tea is so different, so tangy, it calls to me around 9 am when I am starting to drag and again later in the afternoon.  It is so zippy, unlike any tea I've had, its a real pick me up.  I love Stash teas and have been a fan for nearly 20 years, this one is a winner."
B0045PCB6C,AJF5B70OO7S43,WOLF F.,0,0,5,2012-04-28,FOR THE COFFEE LOVER,"If you feel like coffee in the evening but worry about the affects of caffeine, then this is your alternative. great tasting coffee without the hassles. Prices went up quite a bit recently, but at Amazon.com this is still a great deal."
B003SWMZ28,A9JBJ00W8JAYT,Lisa in Los Angeles,0,0,5,2012-09-08,"Fast, delicious Indian food!","My husband absolutely LOVES this mix and it's so easy and quick to prepare! All you need to do is brown a little chicken in a pan, add the mix and some water, and let simmer covered for 20 minutes - the chicken gets wonderfully tender and the sauce is spicy, flavorful and aromatic. Throw in some broccoli and you've got a healthy, delicious meal in under 30 minutes (counting prep time.)"
B001UOZCBC,A8EY6ZUI2VUSN,"Alex J. Vallas ""Alex V.""",0,0,5,2012-01-06,Very Pleased,"The pistachios were as described.  They taste fresh and were well packaged.  I have not used them in cooking yet, but do not foresee a problem."
B000CRKOIE,A17PGJU80JGBIH,Charles,2,2,5,2006-06-18,"Oh, this is for breakfast?","I found this brand in a local health food store, and more recently in the Targets in my area. It's wonderful stuff. I've yet to eat it as a cereal for breakfast, though. I just pop open the bag and eat it by the handful as a snack. Not too sweet, just enough to taste good. I was recently disappointed in the Vanilla Almond Crunch variety, it tasted too strongly of oil to me. The banana nut has never disappointed. I recommend that you find it locally if you can, to try the flavors, then come to Amazon to buy the ones you like best. The price here is almost $1 off per bag compared to Target."
B001EPQTD2,A3RYSRBRTZB0JD,Mary S. Dickson,0,0,5,2012-05-31,Great price for Knox Gelatin,"I make a chocolate mouse that uses gelatin.  The recepie is on the Hersheys Dark Cocoa powder box, and it is great.  Instead of using the 2 cups of cream, I use 1 cup of cream and 1 cup of 1/2 n 1/2.  The sugar I use is cane sugar.  These turn out so good - in the summer I make the mouse and put it in the popsicle containers and its a great fudge cycle!  Jesus' Blessings and Peace"
B0051GXI2K,A5HC79Y8H0ZR7,D. M. Martin,3,3,5,2012-04-29,Vin Spirit is amazing,"Bought the Vin Spirit a few months ago.  I have now given away 8 of them to friends.  Everyone is simply amazed at this product.  Pour virtually any hard liquer thru it an Voil&aacute;.  Something volatilizes off. What is left is very smooth and mild. If you pour a jigger thru the device try it.  Then try a tiny amount not passed thru.  You will be amazed!!!  Worth every penny.  Especially for that guy who thinks he has everything and also knows it all.  I promise he will learn something is indeed new under the sun. A word of warning.  This device MUST be washed after every use otherwise it sticks closed and does not work!  But, it is well worth the extra effort. The comments about the device sticking closed are true and therefore it must be washed with clear water after each use."
B000FA8SH2,A1K233BBPEUNMG,kezia,0,0,5,2012-07-13,Traditional english whole meal biscuits,"These traditional english buiscuits can be hard to find in regular grocery stores. It was a surprise to find them on Amazon. They arrived quickly and amazingly fresh and uncrumbled. This is a feat because their texture is very crisp and crumbly. They are somewhere between a not very sweet cookie and a salty cracker, thicker than a regular cracker with an almost shortbread quality. They have a deliciously satisfying nutty whole meal flavor. I have one for breakfast every day with a thin slice of low fat cheddar on top. My husband has one or two as an after dinner treat."
B000HQOYJ0,A11QF9LG7EY705,"PageY ""dustwon2""",1,1,5,2010-11-10,Bookbinders Seafood Bisque.,Have fond memories of eating at The Original Bookbinders in Center City Philadelphia and enjoying the seafood bisque. My wife moved to Colorado Springs and I to someplace in the Appalachian Mountains. I spend Thanksgiving out west and finally found this soup on Amazon. It will bring a classy soup to the Front Range. Sent a case of it to her. Her mom is native Colorado and wanted to go home to die. Alas she now has a bf from California..It is going to be the best Thanksgiving ever. Thanks Amazon for offering this product.
B0077RTDTI,A2QIJY7RFGZC23,Terri,0,0,5,2012-04-08,I can finally eat pasta again!!,"I really LOVE this product.  I have tried other pasta substitutes but the texture has always been odd and sometimes gross.  Not these noodles.  I like the ""rice"" too but it is more like pearl pasta.  They add bulk to a meal and keep you feeling full for a long time!!!  Have to say it again...I LOVE these products."
B001EQ4QL8,A3CAVQ5VYWV2OP,R. Smigelski,1,1,5,2010-07-28,Pepperiffic !!,The Durkee Spices really are great. The crushed red pepper has an almost roasted aroma and taste. The heat is just about perfect. Used some as soon as I received it. I made hot mustard with it instead of grinding up peppers. Worked great !!<br /><br />Also with Durkee you know when the spices have been packed by the date code. Many others do not bother to put one on their packages.
B000FEDHHE,AXVSXG0TVQB4T,M. A. Leahy,3,3,5,2009-12-19,the best ever,"Even on a modified gluten-free diet these are permitted for me.  They have a slight buttery taste which makes them appealiing for all types of appetizers or snacks; they are especially good with a spread, like Nutella.  They always arrive unbroken because they are so well packed and they are consistently fresh. There are a variety of uses for these, from snacks to saads to main dishes--they are kid friendly also because of the great taste.  Pricing is better than through grocery store."
B000M6CTZG,A3UABEVLBMEYXR,J. Healy,2,2,5,2011-06-11,Delicious and nutritious,"A very slight bitter taste blends beautifully with the sweetness in this honey.  The texture is creamy and thick and it blends nicely in my tea.  I'm hooked! Well worth the price, especially if you are a serious tea with honey drinker as I am."
B008RWUHA6,A32NJA2RRS1T9O,nzm098,0,0,5,2012-10-21,great cereal!,"It's not too sweet, not too bland. Just the right crunch. I like it with milk or mixed with yogurt."
B000FN5OTY,A5DFQGZFLHGMJ,James E. Scarborough,4,4,5,2006-06-15,Delicious & dry,"Be sure to have something to drink along with these slightly sweet, particularly crunchy crackers.  The texture is rich with the variety of several grains, and the flavor is a delightful combination of the grains and a touch of honey.  These are my favorite TLC crackers, but I switch out with the other varieties regularly."
B0013NUGDE,A44OY8EFDM4IP,"Tiffany A. Harkleroad ""Tiffanys Bookshelf""",0,1,5,2012-01-28,I loved them!,"I am always looking for healthy, low calorie snacks, so when I heard about Popchips, I was intrigued.  They are crunchy chips that are not fried, and not baked, but created using heat and pressure to make them pop into being.  Since I love sweet potato chips in general, I thought I would give these a try.<br /><br />The first thing I noticed was the color.  They looked a bit lighter in color to other sweet potato chips I have tried, and I think this is due to them not being fried.  They really looked the same color as fresh, cooked sweet potatoes.  I did not notice any particular smell, other than good old sweet potatoes.  So far so good.<br /><br />In terms of taste, I thought they tasted great.  The chips were nice and crispy, with only a hint of salt, so you really got to enjoy the naturally sweet flavor.  I can really see that these will help satisfy cravings for something crunchy, something salty, something sweet, and especially something that is all three.<br /><br />The texture is definitely not that of a typical potato chip.  They are lighter, crisper, and airy, not as dense as a rice cake, but not as greasy as a typical chip.  All in all, I was really pleased with them.  Someone looking for a healthy replacement, or enjoys other veggie chip type snacks would really like these, I think.  For a die hard chip lover, these would might not satisfy you upon first taste, but give them a couple of chances; personally I loved them.<br /><br />With the snack size bag being 100 calories, I am pretty sold on these as a healthy snack alternative.  This would be a great addition to a sandwich for lunch, or an in-between meal snack.  I am happy to add Popchips to my snack rotation."
B000Q5X8DK,A2V2YEN30PR5HF,Leah M. Ford,0,0,5,2008-09-29,I love these!,"These are so good.  Even my husband with eat them and he will not eat any fruit.  I love that they can be tossed in a gym bag or purse and won't be smashed at the end of the day.  Sure, a whole apple might be a little better for you, but these sure beat other snacks if you are looking for a little chewy, tart snack."
B001SAO0HU,AY12DBB0U420B,Gary Peterson,0,0,5,2012-03-27,"Excellent Taste, High in Calories.","I picked up a bottle of Kedem Grape Juice (concord) at my local Fresh and Easy Market. I thought it was one of their concentrates, but when I got it home I found out it was just grape juice. That's okay, it was quite excellent concord grape juice, one of the best I've tried. Fine flavor. Delicious. It''s quite sweet, but it has no added sugar or any artificial sweeteners. My problem with it, which may not apply to other people, is that it's too high in calories (150 per 7-oz. serving). I can partly get around this by diluting it with a slightly carbonated water, but this dilutes the delicious flavor also. In any case, it's an excellent product and I highly endorse it if you can stand the high caloric content.<br /><br />Gary Peterson"
B000ENUC3S,ABKP2O7MIVSVT,K. Kilmartin,5,5,5,2006-10-19,a life saver for those on a gluten-free diet,"recently diagnosed with celiac, I've had to restructure my whole vision of food and snacks and how to stay healthy.  I've never had luck with nutrition/meal replacement bars in the past (can we say cardboard?), so I was leery when those on the celiac support boards kept singing the praises of Larabars.<br /><br />I picked up my first one at Whole Foods, and was worried with the high nut content -- I'm not known to be fond of nuts.  but after one bite, I discovered I LOVE nuts -- if they are in a Larabar.  the cherry bars are sweet and sure at the same time, just like fresh cherries.  the dates and nuts balance out the flavor experience.<br /><br />unlike other bars, these are soft and tasty, and beyond filling!  I can usually only nibble half at a time.  but now, I have something to keep in my purse or in my desk at work for emergency food.  everyone else can have a sandwich with their wheat filled bread, and I'm perfectly happy to munch away on my Larabar."
B000FI4O90,A3LDQM3GCURG92,"NuJoi ""Create with me""",233,238,5,2006-07-06,Why Didn't Someone Think of This Sooner??!!,"I love this product -- no dirt, no bugs and no chance of over-watering!  This is very easy to assemble and easy to use.  Just add water and a couple of nutrient tablets every two weeks.  There's even a light that tells you when you need to do this.<br /><br />I planted my Gourmet Herbs on June 15 and I was ready to harvest the basil before the fourth of July!  If you follow the instructions, there's no way to mess this up. The herbs lasted about six months. My only caution is (and this is noted in the instruction booklet) that the lamps are on about 16 hours a day and they are bright at night.  I can close off the bedrooms, so it doesn't bother me.<br /><br />I highly recommend this product to anyone one who has tried to grow herbs indoors in the past.  Aerogarden's customer service team is the best -- they know their stuff and are vary helpful.  I had a problem with one of the herb kits and they have really worked to fix the problem.<br /><br />Update:  I read another reviewer's note about installing a new pump.  I had a seed pod that never sprouted and after being shipped a replacement pod that also didn't work, Aerogarden sent me a new pump.  I installed it last night with a new kit.  The instructions were clear and it was pretty easy to do.  I liked doing it myself in five minutes instead of sending the unit somewhere to be repaired.  It still was an inconvenience, but my positive experiences with the product far outweigh the annoyance of the installation.<br /><br />Update:<br />My first kit was the gourmet herb and as noted above, I had problems with the cilantro.  I have since replanted my garden by mixing the French, Itallian and new Gourmet Herb kits and they've worked beautifully,especially the cilantro.  The new pump has made all the difference.  My oregano is even more hearty this time around.  With the mew pump, all of my herbs are doing better.  After almost two months of growth, the thyme appears to be the least robust of the bunch, but still has a good yield. It's in a back corner spot."
B0000WKTY0,A3IUM4F9VVW70I,Pam,1,1,5,2010-08-29,It's so good!,"We purchased this product in Kauai, HI while on vacation and it is absolutely fantastic.  I find myself wishing we had bought a few bottles to bring home!"
